time,latitude,longitude,id,cluster-id
1212129858,37.75563,-122.41748,abmuyawm,74
1212129918,37.75562,-122.41751,abmuyawm,74
1212130420,37.74418,-122.40396,abmuyawm,75
1212131969,37.78611,-122.41741,abmuyawm,1
1212135072,37.79936,-122.44104,abmuyawm,1
1212135127,37.79937,-122.44105,abmuyawm,1
1212135857,37.77397,-122.4373,abmuyawm,0
1212135923,37.77395,-122.43747,abmuyawm,0
1212136034,37.774,-122.43733,abmuyawm,0
1212158245,37.79853,-122.42401,abmuyawm,1
1212185133,37.78611,-122.4563,abmuyawm,23
1212186442,37.76921,-122.4531,abmuyawm,4
1212188399,37.78886,-122.4096,abmuyawm,1
1212192817,37.79522,-122.40821,abmuyawm,1
1212194642,37.78399,-122.44169,abmuyawm,41
1212206749,37.78538,-122.40614,abmuyawm,1
1212216112,37.78625,-122.42358,abmuyawm,1
1212219432,37.76418,-122.45238,abmuyawm,76
1212221159,37.79718,-122.45139,abmuyawm,77
1212222829,37.7519,-122.42736,abmuyawm,31
1212222847,37.7519,-122.42736,abmuyawm,31
1212222890,37.75189,-122.42738,abmuyawm,31
1212223010,37.7519,-122.42739,abmuyawm,31
